time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Volume MA,RSI,Accumulation/Distribution
1418256000,345.22,364.43,339.8,348.9,386.52540000000016,363.3530000000002,369.05519999999933,368.92714285714356,362.1542857142867,16135,9723.250000000024,39.822632223194894,1749949.990732832
1418342400,348.88,358.59,348,352.24,385.2989000000001,363.25420000000014,367.63719999999927,367.16857142857214,358.76000000000096,8051,9792.900000000023,41.96596871642563,1748345.8726969492
1418428800,353.33,354.41,347.03,351.67,383.9413000000002,363.11040000000014,366.7087999999993,365.4671428571436,355.51571428571526,3812,9586.700000000023,41.69304963172778,1749327.2819110414
1418515200,351.67,359.3,347.44,356.52,382.73000000000013,363.2670000000001,365.8083999999993,364.0035714285722,352.55285714285816,6519,8959.900000000023,44.97226440383347,1752790.1571218339
1418601600,357.3,357.3,346.21,349,381.42220000000015,363.1434000000001,365.50959999999924,362.0371428571436,350.7957142857153,8071,8556.550000000023,41.111497217573806,1748780.129168723
1418688000,348.85,349.35,327.34,329.05,379.9584000000002,362.7244000000001,364.6235999999992,358.43214285714356,347.51285714285814,17790,8796.550000000023,33.01421050931006,1733754.409041508
1418774400,329.05,335.99,315.23,322,378.49510000000015,362.0604000000001,363.3787999999993,354.62285714285787,344.19714285714383,22843,9632.400000000023,30.712146995082705,1725809.9745521054
1418860800,321.96,325.61,304.99,312.67,376.8898000000001,361.59980000000013,361.19879999999927,350.5878571428579,339.02142857142957,21564,10023.450000000023,27.93591068975195,1720309.1675685942
1418947200,312.65,320,307.11,318.33,375.30740000000014,361.0436000000001,358.89239999999927,346.46857142857215,334.17714285714385,15978,10460.450000000023,31.954425798768696,1732147.0186159178
1419033600,318.58,333,316.52,331.79,373.86630000000014,360.91960000000006,357.06919999999917,343.4264285714293,331.3371428571439,11356,10876.000000000024,40.45769036547414,1741835.4506547528
1419120000,331.77,332.31,318.78,320.01,372.32020000000017,360.8258000000001,355.12959999999924,339.3371428571436,326.1214285714296,6308,10845.750000000024,36.19468812154505,1736674.359745662
1419206400,320.88,333.99,319.9,331.56,370.8560000000001,360.9698000000001,353.5927999999993,337.2128571428579,323.630000000001,11812.76642626,11109.688321313024,42.58287079534787,1744412.602053283
1419292800,332.52,338.99,327.49,336.92,369.47030000000007,361.19820000000016,351.9951999999992,336.1335714285721,324.75428571428677,7679.77400895,11071.927021760523,45.31892695879129,1749327.657419011
1419379200,336.9,336.9,320.92,323.06,368.0062000000001,361.0550000000001,349.89799999999923,334.5514285714293,324.90571428571536,5884.87599772,10750.820821646523,40.009692860592835,1745018.9559688657
1419465600,323.03,323.72,316.63,319.86,366.5846000000001,360.68460000000016,347.6119999999992,332.4771428571436,325.93285714285815,3887.20558443,10516.281100868022,38.87724258302864,1744673.5484204607
1419552000,319.85,332,316.64,328.27,365.3464000000001,360.2502000000001,345.6815999999992,330.7650000000007,327.35285714285817,6390.7476427,10717.768483003023,43.41059762585853,1747960.4563877347
1419638400,329.31,329.31,311.63,316.47,364.26110000000006,359.7364000000001,343.1595999999993,328.2507142857151,325.1642857142867,8687.53555696,11028.945260851022,39.035866970906206,1744029.4448234995
1419724800,316.48,319.56,311.22,317.64,363.47890000000007,359.18140000000017,340.85199999999924,325.4735714285722,324.82571428571526,4121.07585356,10637.649053529023,39.68490494749106,1746253.0469027585
1419811200,317.64,320.14,310.26,313.01,362.5214000000001,358.1462000000002,338.60599999999926,322.90285714285795,322.17571428571534,6927.82320386,10037.240213722023,37.96251874068334,1743181.805441938
1419897600,313.36,316.77,310,311.07,361.63660000000004,357.0390000000002,336.00879999999927,321.6185714285722,318.4828571428582,8885.6597824,10135.223202842022,37.233325813668884,1737104.9066542701
1419984000,311.1,321,310.69,321,360.84590000000003,356.0460000000002,333.87359999999927,321.5471428571436,318.1885714285725,6336.35443629,9645.290924656523,43.24285153109562,1743441.2610905601
1420070400,321,321,312.6,313.81,359.5943000000001,353.8018000000001,331.33559999999926,321.6285714285722,317.32428571428676,3087.43655402,9397.112752357523,40.238716011550295,1741243.3003056746
1420156800,313.82,317.01,311.96,315.42,358.5117000000001,351.69160000000016,329.5003999999993,321.42071428571506,315.48857142857247,3467.59291082,9379.892397898524,41.22338762107498,1742527.3396607703
1420243200,315.42,316.58,280,282,357.24410000000006,349.33200000000016,326.6991999999993,317.8642857142865,310.56428571428677,21752.71914613,10141.578355205023,30.126794268378845,1723153.266676054
1420329600,280,289.39,255,264,355.84839999999997,347.0722000000002,323.4507999999993,313.86357142857224,302.9014285714296,41441.27855266,11810.092282838024,26.058226204535885,1703402.6834984415
1420416000,264.55,280,264.07,276.8,354.59869999999995,344.81100000000015,320.56679999999926,309.95214285714366,297.7285714285725,9528.27100194,11397.005832935025,32.98864113021331,1709102.898353965
1420761600,272.45,305,272.45,293.97,353.7849,342.9366000000001,318.23599999999925,306.8842857142865,295.2857142857153,9914.24959425,10750.568312647523,40.979885777894005,1712297.9975319584
1420848000,293.89,295,271.03,275.59,352.79879999999997,340.9508000000001,315.19279999999924,303.4935714285722,288.7985714285725,29448.77784509,11144.807204902023,36.0270432712559,1694053.7609445746
1420934400,275.6,280.94,262.08,266.39,351.5518,338.6980000000001,311.58759999999927,299.67428571428655,282.02428571428675,12758.94904431,10983.854657117523,33.823463126372104,1687126.3145917784
1421020800,266.34,272.43,263.54,267.42,350.3774000000001,336.91700000000014,308.3243999999993,295.327857142858,275.1671428571439,10458,10938.954657117523,34.30791136398257,1685797.0075051642
1421107200,267.1,268.15,216,227,348.90060000000005,334.4330000000001,304.24239999999924,288.93714285714367,267.3100000000011,60488,13647.954657117521,26.201719124437815,1650826.4763450492
1421193600,227.01,230.89,152.4,171.41,347.0273000000001,330.7988,298.2187999999993,278.4921428571437,254.08285714285822,124190,19266.81633580452,19.409380353114344,1586793.2326197338
1421280000,172,233.9,168.5,210.98,345.87500000000006,327.67500000000007,294.1511999999993,271.2042857142866,244.68000000000106,83474,23056.527635357023,32.769489860309164,1611758.8509683576
1421366400,210.69,223.15,198.04,208.03,344.7201000000001,324.3158000000001,289.7391999999993,263.8442857142865,232.40285714285824,34694,24496.983835471023,32.33906863446812,1604670.8294629813
1421452800,208.02,212.84,192.17,199.69,343.4311000000001,320.76220000000006,284.4551999999993,255.17928571428655,221.56000000000108,19086,25256.923556249523,31.09555368211447,1599472.2721335182
1421539200,199.69,222,195.02,211.85,342.2016000000001,317.6292000000001,280.12879999999933,247.8964285714294,213.76857142857253,18191,25846.936174114522,35.01895217924098,1603976.1965219541
1421625600,211.8,220.94,207.7,216.34,340.8077000000001,314.55640000000005,275.51999999999936,240.81928571428654,206.47142857142967,13022,26063.659396266525,36.45767044114428,1607949.676884492
1421712000,216.01,216.81,201.98,210.65,339.2741000000001,311.23220000000003,270.4691999999994,235.722857142858,204.1357142857154,14108,26563.005603588525,35.38836888087795,1610337.4772890774
1421798400,211.94,228.9,205,227.16,337.93680000000006,308.26560000000006,266.63319999999936,233.09142857142947,212.10000000000107,22894,27361.314443395524,40.81285002547351,1629897.9576238054
1421884800,227.75,239,226.01,234.08,336.6576000000001,305.407,263.2019999999994,230.04000000000087,215.40000000000106,25366,28185.331454275525,42.97390031055804,1636049.06616884
1421971200,234.08,240,225.55,233.64,335.2129000000001,302.5492,259.4167999999994,225.73071428571515,219.05857142857252,15179,28627.463732461027,42.866726411951376,1637866.344369532
1422057600,233.42,249.99,230.03,249.19,333.7788000000001,299.9426,256.72559999999936,223.84500000000088,226.1300000000011,13749,29160.541904760023,47.81956685313055,1650513.2201210351
1422144000,249.33,257,241.33,255.31,332.29810000000015,297.54220000000004,254.2323999999994,223.0535714285723,232.33857142857255,28721,30423.21225921902,49.66886799928456,1673039.1352454766
1422230400,254.67,309.9,254.67,274.8,331.1009000000002,295.655,252.70399999999938,223.58071428571517,240.6900000000011,55732,32122.17630191252,55.12348411434204,1657933.0689771443
1422316800,274.76,278.51,243.1,263.98,329.9012000000002,293.4146,250.82039999999944,226.22214285714375,248.30857142857252,21109,31105.56237427952,51.769205756548565,1661718.5010584772
1422403200,263.97,266.45,225.91,236.07,328.4254000000001,290.6484,247.4231999999994,230.84071428571517,249.58142857142965,28041,32031.19882418252,44.2836638651776,1647732.585419602
1422489600,236.07,242.18,220,235.79,326.8775000000001,287.81899999999996,244.30239999999944,232.61285714285805,249.82571428571538,25879,32829.43634447002,44.2145921493469,1658700.2409651384
1422576000,235.12,244.98,225.52,228.96,325.2918000000001,285.1721999999999,240.84399999999943,234.10785714285802,249.15714285714395,20579,32385.947452215518,42.47426872745347,1645396.8586424252
1422662400,228.98,234.8,215.75,216.9,323.6487000000001,282.4695999999999,238.2399999999994,235.33714285714376,244.54428571428681,19198,32707.900000000016,39.51656406904168,1628516.7274088294
1422748800,218.04,233,208.48,226.93,322.0599,280.104,236.7571999999994,236.4142857142866,240.4900000000011,18366,33103.30000000002,43.067381647065126,1637789.6099536908
1422835200,226.93,241.98,221.79,238.47,320.62420000000003,277.89539999999994,235.2239999999994,237.99500000000089,235.30000000000106,15572,30857.50000000002,46.92791754125745,1647947.274143884
1422921600,238.38,244.39,223.79,227.99,319.33230000000003,275.4103999999999,232.58479999999938,239.2335714285723,230.1585714285725,17455,25520.75000000002,44.00933865327674,1637609.846959418
1423008000,227.94,231,220.02,227,318.0137000000001,272.9169999999999,230.64119999999937,239.22214285714375,228.86285714285822,14946,22094.350000000017,43.73264164665093,1641666.229473079
1423094400,226.93,229,210.43,216.81,316.6949000000001,270.1227999999999,228.65799999999936,237.98857142857233,226.15142857142965,12843,21001.800000000017,40.88339378294812,1637648.0372275217
1423180800,216.46,225.86,210.59,223.37,315.3768000000001,267.6101999999999,226.89599999999936,237.25500000000088,225.3528571428582,10931,20594.050000000017,43.43822316724817,1645014.1138483468
1423267200,223.44,231.14,221.77,228.3,314.15980000000013,265.5951999999999,226.94799999999933,235.762857142858,226.9814285714296,9642,20166.600000000017,45.3497156642391,1648811.2301770553
1423353600,228.78,232.89,217.28,223.88,312.84660000000014,263.6327999999999,229.04679999999934,233.51785714285802,226.54571428571532,13758,20203.400000000016,43.91673723111858,1646687.1571469465
1423440000,223.92,225.99,215,220.9,311.6986000000001,261.7973999999999,229.44359999999935,229.66785714285803,224.0357142857153,19600,20478.00000000002,42.93176828032171,1648131.7431342078
1423526400,220.91,222,215,220.42,310.44140000000004,259.8391999999999,229.93919999999932,226.55642857142945,222.95428571428673,6846,19675.600000000017,42.765390787678335,1651887.2631342078
1423612800,220.42,223.43,217.99,219.55,309.2570000000001,257.5943999999999,230.73359999999934,225.37642857142944,221.890000000001,10636,18939.100000000017,42.44432199305752,1647351.3219577372
1423699200,219.57,223.09,218.01,223,308.2400000000001,255.65419999999995,231.17959999999934,224.462857142858,222.77428571428672,6921,18526.20000000002,44.23234284115489,1654027.0896742726
1423785600,223.02,242.35,221.37,237,307.3664000000001,253.76299999999992,232.00599999999937,225.03714285714372,224.7214285714296,21397,18908.600000000017,50.898462691183965,1664511.415699058
1423872000,237,259.31,236.9,256.99,306.68130000000014,252.16439999999992,233.85959999999938,227.90071428571517,228.82000000000102,19792,18462.150000000016,58.52231787893265,1680205.473708875
1423958400,256.81,267.92,227.75,235.63,305.73540000000014,250.4157999999999,234.1983999999994,228.52214285714376,230.49857142857243,29155,17133.300000000017,49.65112919608952,1662488.9302684965
1424044800,235.61,241.23,229.2,234.7,304.6986000000001,248.71259999999995,234.22319999999937,228.25285714285806,232.470000000001,12345,16695.100000000017,49.300716436559625,1661431.9601936836
1424131200,234.69,248.78,232.01,244.7,303.64570000000015,247.04119999999995,234.66559999999936,229.4464285714295,235.93857142857243,13101,15948.100000000017,53.13105933338798,1668158.2338967246
1424217600,244.6,247,232.01,237.37,302.5978000000002,245.4591999999999,234.19279999999938,230.18714285714375,238.48428571428673,12780,15293.150000000018,50.140755202245586,1664517.7669187393
1424304000,237.37,245.01,235.59,240.59,301.5498000000001,243.91819999999993,233.60399999999936,231.88571428571518,240.99714285714387,8691,14698.750000000018,51.4338696597244,1665052.881568421
1424390400,240.61,249.32,239.41,245.48,300.35690000000017,242.56759999999994,232.43119999999934,233.46500000000088,242.20857142857244,9291,14203.400000000018,53.41002648018516,1667143.5909528811
1424476800,245,247.8,244,245.41,299.1467000000002,241.25439999999992,231.68839999999935,234.68714285714375,240.5542857142867,2953,13432.750000000018,53.37654441611957,1666382.0277949865
1424563200,245.84,247.42,232.48,236.5,297.8052000000002,239.56439999999992,231.70559999999932,235.58857142857232,240.67857142857244,7722,13040.250000000018,49.15276051239121,1662815.6422528177
1424649600,236.46,241,232.05,239.65,295.9415000000002,238.08119999999988,231.85999999999933,236.92785714285804,241.3857142857153,6327.72647515,12483.886323757517,50.639877047456125,1667234.445657252
1424736000,239.63,240.97,236.07,239.55,294.1277000000002,236.5637999999999,232.28359999999932,238.29428571428662,240.650000000001,5144.11355689,11993.792001602018,50.589293373972524,1669397.0729893325
1424822400,239.53,240.98,236,237.97,292.50760000000014,235.6831999999999,233.12639999999934,239.61000000000087,240.73571428571526,3810.53504102,11542.168753653017,49.743822505228316,1668601.298603256
1424908800,237.99,238.55,234.01,236.84,291.10610000000014,235.13999999999993,233.52279999999934,240.5985714285723,240.20000000000098,5492.00801445,11270.219154375516,49.11165719008089,1669956.1552059397
1424995200,236.83,256.15,236.16,252.78,289.7353000000002,234.65959999999995,234.09519999999935,241.72571428571516,241.24285714285816,22012.00337088,11888.719322919516,57.34626837421404,1684546.4025628262
1425081600,252.29,254.56,245.2,253.47,288.3931000000002,233.84959999999992,235.11439999999934,241.47428571428654,242.39428571428672,5626.62832392,11482.150739115517,57.665615853840485,1688862.555486517
1425168000,253.45,260.25,245,258.34,287.2277000000002,233.50459999999995,236.36799999999934,243.09642857142944,245.51428571428673,9678.17856008,10986.059667119518,59.94505078912717,1696116.4296466294
1425254400,257.95,277,255.61,274.93,286.18670000000014,233.67539999999997,238.69279999999932,245.97000000000088,250.55428571428675,17985,11543.009667119517,66.55206667220187,1710620.4619046939
1425340800,275.95,284.95,265.89,281,285.43200000000013,233.94699999999995,240.99799999999934,248.562857142858,256.4757142857153,20910,12056.709667119518,68.59332563874423,1722863.6728176004
1425427200,281.03,283.88,264.94,270.78,284.62780000000015,234.82259999999994,242.69719999999933,250.94928571428656,261.1628571428582,14277,12424.509667119517,61.75927923185504,1717391.07408476
1425513600,270.72,280.5,262.2,273.09,283.82750000000016,236.85619999999994,244.66559999999933,253.27071428571512,266.34142857142956,11404,11924.859667119517,62.66472244110072,1719559.7035929565
1425600000,273.46,276.46,269,272.68,282.88260000000014,238.09019999999998,246.7367999999993,255.21357142857227,269.18428571428666,6828,11276.659667119518,62.382394573427966,1719468.1754428225
