time,open,high,low,close,7MA,14MA,25MA,50MA,100MA,Volume,Volume MA,RSI,Accumulation/Distribution
1477872000,697.1,745.19,670.32,709.93,390.49119999999994,520.3617999999999,621.5724000000004,617.5378571428573,645.0728571428572,37188.976206989995,31284.01697718805,70.11533920370023,2139458.2319931285
1478476800,709.92,740.86,683.23,700.38,393.92979999999994,526.9397999999999,632.0356000000004,625.2457142857145,659.5585714285714,35418.39312969,27847.738933836546,67.84773936035381,2125120.0207886226
1479081600,700.38,755.07,697.14,727.09,398.00059999999996,533.7167999999999,640.4056000000003,636.5550000000002,676.4857142857143,43254.63053263,27511.140613347547,70.70171809103034,2126590.9619615776
1479686400,727.09,750,722.3,727.32,402.09740000000005,539.6017999999999,646.5420000000004,647.2528571428574,692.8085714285714,26673.41090692,26911.723734814044,70.72581507350304,2109585.458834639
1480291200,727.32,778.07,721,762,407.07740000000007,545.9909999999999,650.1368000000003,660.7385714285716,710.3842857142856,36581.17352873,27511.92207948355,74.17486194454898,2125565.2845937284
1480896000,762,774.12,743,768.97,412.1032,552.9351999999999,650.4380000000003,672.5421428571428,727.5600000000001,28520.87983248,28001.110342145046,74.81704572709867,2144646.413067772
1481500800,768.97,793.27,765.1,788.67,417.8714,560.0877999999999,655.6732000000004,685.567142857143,740.6228571428571,21477.81845389,28201.58744870005,76.58900860309045,2159109.8215189716
1482105600,788.34,920,787.01,890.67,424.225,568.9254,664.9692000000002,705.7578571428572,766.4428571428571,56709.60192418,27769.871645549552,83.18590940927166,2190805.6235418627
1482710400,890.65,1005,888,997.75,431.9332,581.2772,678.9288000000004,734.2414285714286,808.9242857142856,52597.39938603999,29297.189708031052,87.24829596964169,2236884.541807411
1483315200,997.75,1139.89,812.28,909.75,438.7919,591.429,688.1372000000003,755.7521428571429,835.0185714285714,130728.25835106998,34549.72262695205,71.87856531373852,2183944.405561764
1483920000,909.8,918.4,751.34,821.86,444.65420000000006,600.4964,694.5528000000004,770.6664285714287,848.5242857142856,92826.21566664001,38014.75818490154,60.42884069348061,2169486.497435067
1484524800,821.86,937.74,818.09,923.76,451.5268000000001,611.4716,706.5500000000003,791.0085714285715,871.6328571428569,60386.56034769,39778.25024343854,66.9935293352141,2215761.8314783573
1485129600,923.75,927.57,881.48,912.01,458.06350000000003,621.6117999999999,719.3316000000003,809.8135714285715,892.0671428571428,30759.392631869996,39975.074379928046,65.64126782925251,2225752.460849134
1485734400,913.12,1044.23,910,1011.07,465.42420000000004,633.0631999999999,737.0240000000003,832.2307142857143,923.8385714285713,48914.77048103,41520.81148359004,70.96270692508021,2250499.552135484
1486339200,1010.03,1074.69,913.73,1000.73,472.564,644.4441999999999,753.9512000000004,853.0021428571429,939.5614285714283,63161.775280949994,43805.212438376046,69.74838724240863,2255616.534924149
1486944000,1000.73,1068.99,975.1,1051.8,480.4046000000001,657.3556,773.0952000000004,878.1035714285715,947.282857142857,33282.25374074,44595.32335488855,72.27215283344921,2276711.7199290637
1487548800,1051.8,1220,1044.39,1179.05,489.7751,672.6757999999999,796.1084000000004,910.3864285714286,985.7542857142855,64898.335354860006,47056.12375664455,77.34394443381166,2311343.1361701884
1488153600,1180.46,1298,1169,1273,499.8997000000001,689.9101999999999,822.7756000000004,949.3635714285714,1050.2028571428568,41646.795282720006,48076.838269029555,80.2205663071235,2336847.762738676
1488758400,1269.98,1350,975,1226.62,509.8009000000001,706.1098,847.5204000000003,982.5507142857143,1093.4685714285713,86539.53241125001,51247.31509380856,75.14792543908189,2366441.975102459
1489363200,1226.42,1260,944.36,1017.97,517.7552000000001,718.0869999999999,864.2800000000004,1000.3364285714287,1108.6057142857142,78732.98939892,53514.95814246456,57.52502036181751,2324431.4248725576
1489968000,1012.88,1117.9,891.33,960,525.1600000000001,728.9198,878.3360000000004,1012.5742857142858,1101.31,77470.53548879,55529.03610655456,53.75333452253265,2293921.2254566387
1490572800,959.08,1100,952.95,1078.01,533.5501,741.9315999999999,896.9340000000004,1025.9557142857143,1112.35,60680.03660101,56792.11828012056,59.565418445387536,2336452.9586934024
1491177600,1076.59,1216.87,1076.19,1206.2,543.2208,756.8551999999999,919.6232000000003,1040.845,1134.4071428571426,46207.077425539996,56939.740624766055,64.7480945644063,2375650.8021676983
1491782400,1205.2,1229,1141,1162.31,552.4842000000001,771.0413999999998,940.1660000000004,1058.885,1132.015714285714,31268.611520799997,57169.500655460055,61.826166292474184,2359526.1477266313
1492387200,1162.31,1252.32,1161,1241.99,562.5119,786.7169999999999,961.9564000000003,1088.8942857142858,1127.5857142857142,32950.746636740005,56987.97931086055,64.92113668232227,2385022.2028881735
1492992000,1242,1356,1234,1350.21,573.7248999999999,804.5699999999998,987.5676000000004,1119.355,1145.2414285714283,39411.95591813001,57532.53311514305,68.63999575885319,2420693.253482271
1493596800,1348.88,1623.01,1341.22,1554.01,587.038,826.8741999999999,1021.7128000000002,1165.212142857143,1221.8185714285714,79409.84428198,60429.13440654755,74.18937140778736,2461214.0012352285
1494201600,1554.38,1892,1554.38,1784,602.5571,852.1973999999999,1063.9892000000002,1220.4214285714286,1339.532857142857,94671.97949056001,62327.25328486655,78.75771447360458,2495317.44932966
1494806400,1782.3,2063.11,1641.22,2017.55,620.2962,881.0701999999999,1115.5984000000003,1293.0514285714287,1473.752857142857,93126.14311167001,64353.690471148046,82.20258336692723,2568330.164390569
1495411200,2017.55,2760.1,1850,2178.81,639.5980999999999,911.2037999999999,1172.2708000000002,1373.5521428571428,1612.6971428571428,155768.45194677,65605.70015093306,84.11778299507648,2525116.870524488
1496016000,2172.54,2584.34,2110,2530.27,662.1857999999999,946.5803999999998,1242.7228000000002,1470.0678571428573,1808.1200000000001,93043.44403407,65616.56156930455,87.32035032312018,2596948.2766999663
1496620800,2530.27,2967.46,2525.28,2954.22,688.6224999999998,992.5089999999998,1329.3448,1590.155,2052.7242857142855,93979.26297278001,67296.19670055906,89.95229826971273,2685299.580734035
1497225600,2954.23,2980,2120,2516.98,711.0376,1029.6831999999997,1394.3972000000003,1682.3235714285713,2219.405714285714,148795.79374539998,73198.01675623555,73.09942574758085,2673873.447921307
1497830400,2516.98,2789,2432,2502.03,733.1259999999999,1066.7486,1454.5684000000003,1788.327857142857,2354.837142857143,84989.14520239,75001.73549230355,72.59858939452143,2622227.6631588237
1498435200,2502.26,2594.78,2291,2504.37,755.3465,1103.2451999999998,1518.3532000000005,1898.6399999999999,2457.747142857143,88202.38791121001,76253.76612381656,72.63019854866029,2657929.0444793925
